Locus_name,Model,Run_time
UCE-803,Single,23.468097
UCE-803,Mixture,60.33943
UCE-5797,Single,555.519682
UCE-5797,Mixture,613.6828
UCE-33,Single,19.065609
UCE-33,Mixture,60.23439
UCE-6499,Single,1443.196802
UCE-6499,Mixture,2649.288
UCE-2811,Single,11.826499
UCE-2811,Mixture,37.63779
UCE-3489,Single,23.519729
UCE-3489,Mixture,97.77598
UCE-7468,Single,601.574629
UCE-7468,Mixture,803.5964
UCE-6286,Single,730.467344
UCE-6286,Mixture,608.5129
UCE-6196,Single,618.6704
UCE-6196,Mixture,815.9154
UCE-237,Single,195.706869
UCE-237,Mixture,268.8291
UCE-2960,Single,4.037315
UCE-2960,Mixture,27.95391
UCE-7909,Single,287.005646
UCE-7909,Mixture,491.1386
UCE-4024,Single,170.030984
UCE-4024,Mixture,592.1652
UCE-2112,Single,417.193933
UCE-2112,Mixture,776.928
UCE-1427,Single,490.389531
UCE-1427,Mixture,261.3302
UCE-5970,Single,27.926888
UCE-5970,Mixture,148.8707
UCE-3443,Single,8.8217
UCE-3443,Mixture,31.82525
UCE-4778,Single,16.284149
UCE-4778,Mixture,120.9154
UCE-3970,Single,21.223485
UCE-3970,Mixture,202.4502
UCE-6138,Single,515.986973
UCE-6138,Mixture,1600.569
UCE-3225,Single,660.35601
UCE-3225,Mixture,1546.525
UCE-6532,Single,483.843575
UCE-6532,Mixture,526.7093
UCE-3313,Single,13.659418
UCE-3313,Mixture,203.8416
UCE-6524,Single,123.32338
UCE-6524,Mixture,247.628
UCE-7146,Single,44.887947
UCE-7146,Mixture,225.6911
UCE-195,Single,512.157355
UCE-195,Mixture,454.7004
UCE-1323,Single,37.258876
UCE-1323,Mixture,118.6415
UCE-7019,Single,176.631708
UCE-7019,Mixture,565.9068
UCE-7740,Single,264.073488
UCE-7740,Mixture,849.2826
UCE-2600,Single,985.622337
UCE-2600,Mixture,631.4341
UCE-3703,Single,405.063787
UCE-3703,Mixture,671.9247
UCE-2131,Single,475.209791
UCE-2131,Mixture,477.0845
UCE-2079,Single,1339.84382
UCE-2079,Mixture,769.1211
UCE-7277,Single,165.30745
UCE-7277,Mixture,429.8261
UCE-3222,Single,21.864781
UCE-3222,Mixture,74.84292
UCE-7682,Single,25.390316
UCE-7682,Mixture,338.0652
UCE-1723,Single,1141.051671
UCE-1723,Mixture,1122.483
UCE-1828,Single,13.003408
UCE-1828,Mixture,66.08263
UCE-3449,Single,196.667573
UCE-3449,Mixture,635.4285
UCE-248,Single,615.436012
UCE-248,Mixture,924.4633
UCE-6316,Single,407.729514
UCE-6316,Mixture,548.5068
UCE-2235,Single,1382.177764
UCE-2235,Mixture,672.4385
UCE-3655,Single,400.955701
UCE-3655,Mixture,395.6322
UCE-3538,Single,332.781537
UCE-3538,Mixture,335.7305
UCE-690,Single,17.248128
UCE-690,Mixture,186.575
UCE-7348,Single,16.641611
UCE-7348,Mixture,124.2226
UCE-3688,Single,14.27494
UCE-3688,Mixture,94.28741
UCE-2681,Single,8.698689
UCE-2681,Mixture,20.72744
UCE-1602,Single,1942.575194
UCE-1602,Mixture,599.9381
UCE-4408,Single,18.821269
UCE-4408,Mixture,81.96282
UCE-4640,Single,1539.727612
UCE-4640,Mixture,902.5609
UCE-2288,Single,15.094136
UCE-2288,Mixture,84.72776
UCE-3568,Single,1243.218065
UCE-3568,Mixture,755.1888
UCE-5327,Single,1647.218451
UCE-5327,Mixture,635.7542
UCE-4486,Single,266.810099
UCE-4486,Mixture,598.0267
UCE-4472,Single,394.908429
UCE-4472,Mixture,1079.154
UCE-6902,Single,35.178876
UCE-6902,Mixture,78.55099
UCE-1769,Single,317.99202
UCE-1769,Mixture,349.7072
UCE-7679,Single,8.864196
UCE-7679,Mixture,61.35745
UCE-3613,Single,104.347448
UCE-3613,Mixture,544.2252
UCE-7797,Single,16.994961
UCE-7797,Mixture,64.49936
UCE-7884,Single,420.035831
UCE-7884,Mixture,593.5051
UCE-4831,Single,418.043284
UCE-4831,Mixture,369.7348
UCE-7399,Single,598.769672
UCE-7399,Mixture,166.178
UCE-2733,Single,118.526889
UCE-2733,Mixture,315.2394
UCE-4530,Single,189.694636
UCE-4530,Mixture,410.6062
UCE-3637,Single,129.303443
UCE-3637,Mixture,378.0738
UCE-6311,Single,1305.285585
UCE-6311,Mixture,397.2991
UCE-7510,Single,123.528213
UCE-7510,Mixture,876.1274
UCE-5734,Single,337.072042
UCE-5734,Mixture,760.8319
UCE-3072,Single,20.865754
UCE-3072,Mixture,85.12925
UCE-6063,Single,25.454325
UCE-6063,Mixture,130.3027
UCE-3319,Single,11.479788
UCE-3319,Mixture,34.87379
UCE-5677,Single,1584.548684
UCE-5677,Mixture,1282.551
UCE-3244,Single,375.658229
UCE-3244,Mixture,603.5651
UCE-7452,Single,15.142353
UCE-7452,Mixture,59.59595
UCE-3761,Single,890.150873
UCE-3761,Mixture,1080.816
UCE-761,Single,14.248231
UCE-761,Mixture,55.36026
UCE-6896,Single,229.688201
UCE-6896,Mixture,606.4356
UCE-1467,Single,160.060688
UCE-1467,Mixture,206.6797
UCE-3957,Single,1096.355885
UCE-3957,Mixture,781.5052
UCE-6194,Single,1738.422205
UCE-6194,Mixture,969.1984
UCE-556,Single,237.153099
UCE-556,Mixture,373.1411
UCE-6032,Single,1174.615197
UCE-6032,Mixture,720.3481
UCE-4699,Single,393.716857
UCE-4699,Mixture,214.7994
UCE-868,Single,1428.563497
UCE-868,Mixture,576.0768
UCE-7890,Single,33.482815
UCE-7890,Mixture,181.184
UCE-3670,Single,13.185993
UCE-3670,Mixture,30.57541
UCE-2833,Single,31.211626
UCE-2833,Mixture,249.9149
UCE-5110,Single,24.142938
UCE-5110,Mixture,109.5562
UCE-1743,Single,807.031348
UCE-1743,Mixture,942.8032
UCE-1216,Single,341.405653
UCE-1216,Mixture,491.2864
UCE-5978,Single,385.192023
UCE-5978,Mixture,519.5546
UCE-867,Single,714.503348
UCE-867,Mixture,923.5546
UCE-853,Single,170.296567
UCE-853,Mixture,259.569
UCE-2560,Single,18.227879
UCE-2560,Mixture,75.60382
UCE-4593,Single,11.307248
UCE-4593,Mixture,59.77663
UCE-3527,Single,430.855602
UCE-3527,Mixture,1064.12
UCE-999,Single,79.540756
UCE-999,Mixture,257.1351
UCE-6742,Single,420.816368
UCE-6742,Mixture,470.2177
UCE-5447,Single,29.964918
UCE-5447,Mixture,72.06499
UCE-3294,Single,226.357531
UCE-3294,Mixture,339.0452
UCE-5763,Single,27.57395
UCE-5763,Mixture,145.7002
UCE-2114,Single,305.520915
UCE-2114,Mixture,483.6125
UCE-6564,Single,8.60811
UCE-6564,Mixture,29.96157
UCE-2920,Single,10.500343
UCE-2920,Mixture,38.28195
UCE-4403,Single,322.191519
UCE-4403,Mixture,660.5234
UCE-110,Single,14.215328
UCE-110,Mixture,72.41934
UCE-6295,Single,6.058596
UCE-6295,Mixture,40.63208
UCE-7423,Single,24.985372
UCE-7423,Mixture,109.4448
UCE-752,Single,1162.994426
UCE-752,Mixture,801.4698
UCE-685,Single,1468.872727
UCE-685,Mixture,646.4246
UCE-5835,Single,332.92973
UCE-5835,Mixture,952.14
UCE-4658,Single,1588.393121
UCE-4658,Mixture,1162.915
UCE-7164,Single,428.374011
UCE-7164,Mixture,917.2783
UCE-3360,Single,165.860311
UCE-3360,Mixture,504.9206
UCE-5287,Single,18.070755
UCE-5287,Mixture,47.21037
UCE-5119,Single,25.971803
UCE-5119,Mixture,132.6446
UCE-1591,Single,1601.555975
UCE-1591,Mixture,717.1561
UCE-5364,Single,370.575008
UCE-5364,Mixture,523.2313
UCE-2225,Single,18.935078
UCE-2225,Mixture,59.3983
UCE-1867,Single,19.456373
UCE-1867,Mixture,89.41621
